adset_id,campaign_id,daily_budget,purchase,ctr,roas,daily_budget_avg_3d,purchase_avg_3d,ctr_avg_3d,roas_avg_3d,daily_budget_avg_7d,purchase_avg_7d,ctr_avg_7d,roas_avg_7d,impressions,cpm,clicks,cpc,cost_per_purchase,purchase_value,add_to_cart,cost_per_add_to_cart
adse_1835,camp_4441,51.1,3.0,0.0,41.8,48.5,1.3,0.0,15.4,45.2,1.4,0.0,11.6,2648.0,19.3,18.0,2.8,17.0,2136.8,6.0,8.5
adse_4014,camp_0057,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.6,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
adse_7393,camp_3486,22.4,0.0,0.0,0.0,21.7,0.7,0.0,21.4,20.3,0.9,0.0,28.4,844.0,26.6,11.0,2.0,-1.0,0.0,0.0,-1.0
adse_0914,camp_0296,12.5,2.0,0.0,97.8,11.2,0.7,0.0,32.6,10.0,0.4,0.0,18.0,677.0,18.4,10.0,1.2,6.2,1220.0,2.0,6.2
adse_9352,camp_2002,11.5,1.0,0.0,57.2,10.5,0.7,0.0,49.6,10.2,0.6,0.0,29.4,584.0,19.7,9.0,1.3,11.5,656.2,2.0,5.7
adse_8684,camp_3486,11.4,1.0,0.0,17.6,10.7,0.7,0.0,7.5,10.0,0.6,0.0,12.8,476.0,24.1,6.0,1.9,11.4,201.9,2.0,5.7
adse_3551,camp_2164,38.0,2.0,0.0,31.5,39.9,3.3,0.0,50.0,35.8,2.1,0.0,29.8,2376.0,16.0,14.0,2.7,19.0,1198.7,2.0,19.0
adse_1120,camp_4441,16.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,15.1,0.4,0.0,16.5,987.0,16.2,1.0,16.0,-1.0,0.0,3.0,5.3
adse_1825,camp_0296,12.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,10.1,0.3,0.0,8.4,770.0,15.6,8.0,1.5,-1.0,0.0,1.0,12.0
adse_6981,camp_6297,21.0,0.0,0.0,0.0,21.8,0.7,0.0,15.2,19.7,0.9,0.0,20.2,1089.0,19.3,11.0,1.9,-1.0,0.0,2.0,10.5
adse_0674,camp_5539,22.3,4.0,0.0,61.8,20.9,2.0,0.0,46.8,20.2,2.0,0.0,45.9,3165.0,7.0,105.0,0.2,5.6,1378.1,3.0,7.4
adse_1875,camp_3486,22.3,0.0,0.0,0.0,21.4,0.3,0.0,1.2,20.1,0.1,0.0,0.5,1104.0,20.2,12.0,1.9,-1.0,0.0,1.0,22.3
adse_2233,camp_4515,32.1,0.0,0.0,0.0,31.9,0.0,0.0,0.0,29.6,1.1,0.0,18.1,2140.0,15.0,27.0,1.2,-1.0,0.0,1.0,32.1
adse_0831,camp_3525,59.1,3.0,0.0,21.9,54.8,2.0,0.0,17.6,50.0,2.4,0.0,31.6,3367.0,17.5,106.0,0.6,19.7,1292.6,6.0,9.8
adse_4099,camp_3525,44.9,2.0,0.0,8.6,43.8,1.7,0.0,15.6,40.1,1.3,0.0,13.4,2354.0,19.1,21.0,2.1,22.4,385.6,5.0,9.0
adse_2048,camp_6210,45.5,2.0,0.0,10.3,44.0,1.7,0.0,6.2,40.3,1.7,0.0,12.3,2365.0,19.2,11.0,4.1,22.8,470.6,7.0,6.5
adse_1038,camp_2555,10.9,0.0,0.0,0.0,11.0,0.7,0.0,12.7,10.1,0.7,0.0,26.8,689.0,15.8,1.0,10.9,-1.0,0.0,0.0,-1.0
adse_4999,camp_2002,23.1,1.0,0.0,12.4,20.6,1.0,0.0,24.4,19.9,0.9,0.0,20.2,1422.0,16.2,21.0,1.1,23.1,286.2,5.0,4.6
